,"Number of woman entrants, persons","Number of man entrants, persons","Number of state order training woman entrants, persons","Number of state order training man entrants, persons","Number of paid training woman entrants, persons","Number of paid training man entrants, persons","Number of woman students, persons","Number of state order training woman students, persons","Number of state order training man students, persons","Number of paid training woman students, persons","Number of paid training man students, persons","Number of woman graduates, persons","Number of man graduates, persons","Number of foreign woman entrants, persons","Number of foreign man entrants, persons","Number of foreign woman students, persons","Number of foreign man students, persons","Number of state order training foreign woman students, persons","Number of state order training foreign man students, persons","Number of paid training foreign woman students, persons","Number of paid training foreign man students, persons"
"Number of woman entrants, persons",1.0,0.9642036861847526,0.9762003941248769,0.9307607905932298,0.9971140062036365,0.9440883392860177,0.981940238609898,0.9754389802639902,0.9195975043952314,0.971213392898612,0.9247663760364521,0.8932365215644342,0.8787745295555489,0.8792023297542779,0.857639091563456,0.9130911711156057,0.9364650102468022,0.6083227615484131,0.6847080838439061,0.9353072920483512,0.9458028660691777
"Number of man entrants, persons",0.9642036861847526,1.0,0.9318560987945285,0.9537706984903812,0.9647115836672319,0.9856273399050294,0.967386500290817,0.9400121891345113,0.9460129659398993,0.9641142014945043,0.9736828593504571,0.9550300582189799,0.9370754161118039,0.8703088645864994,0.8147190139101185,0.9136021226704394,0.9277044399281945,0.6155577634793781,0.6514327603554482,0.9323759188202904,0.9478622562063482
"Number of state order training woman entrants, persons",0.9762003941248769,0.9318560987945285,1.0,0.934347896910508,0.9569185497419251,0.8928469748325522,0.9381635860301393,0.9731927710444507,0.9340556131875148,0.9135667616728697,0.8743071643867586,0.836666837229757,0.8426334888163939,0.8940377870710929,0.9040873620590588,0.9050312514826986,0.9607876065124475,0.6635371832582715,0.7772456806582607,0.896693655854468,0.9400231502660218
"Number of state order training man entrants, persons",0.9307607905932298,0.9537706984903812,0.934347896910508,1.0,0.9190643502425636,0.8892918044929123,0.9245071215856756,0.9331573537564922,0.9512574093515349,0.9092685572640624,0.9214200355706653,0.9124423354898228,0.8987505580666256,0.8500494804129691,0.8184889294336696,0.8685553984835466,0.9335697192840794,0.5774099891178123,0.6572411661847175,0.8903102758450668,0.9531690334605477
"Number of paid training woman entrants, persons",0.9971140062036365,0.9647115836672319,0.9569185497419251,0.9190643502425636,1.0,0.9514359297291496,0.9862500942809009,0.9652834064979972,0.9042207291246117,0.9804989706819193,0.9320569043878086,0.9030197959492153,0.8815686758315826,0.8641465869470891,0.8317586913246852,0.9056701547316105,0.9174458130608337,0.5821703201519595,0.6446332583172576,0.938332856737352,0.9372166897230487
"Number of paid training man entrants, persons",0.9440883392860177,0.9856273399050294,0.8928469748325522,0.8892918044929123,0.9514359297291496,1.0,0.9524470490818747,0.905927740683125,0.9048851980302225,0.9560331838436437,0.963763832091744,0.9404253533747731,0.9207991338442862,0.846572391092193,0.7797189412418241,0.902051624971873,0.8869666008349038,0.6121579599943154,0.6218768434004497,0.9183920378247409,0.9066248149013141
"Number of woman students, persons",0.981940238609898,0.967386500290817,0.9381635860301393,0.9245071215856756,0.9862500942809009,0.9524470490818747,1.0,0.9717025117780702,0.9148746360916136,0.996617488992222,0.9586965416301405,0.9370514373044211,0.9152818026361654,0.8525469693920109,0.7915327832157418,0.9238736254146305,0.9096241984788295,0.6393207880211129,0.6527661398560457,0.9344190735063596,0.9236942368973923
"Number of state order training woman students, persons",0.9754389802639902,0.9400121891345113,0.9731927710444507,0.9331573537564922,0.9652834064979972,0.905927740683125,0.9717025117780702,1.0,0.9249174272931494,0.9490041016935875,0.9151778358679562,0.891232330636162,0.9021795268209947,0.8917599443084423,0.8632023163503989,0.9351537039364146,0.9522808799023077,0.6939619090124747,0.7533791618259876,0.9223595821033964,0.9385949376135174
"Number of state order training man students, persons",0.9195975043952314,0.9460129659398993,0.9340556131875148,0.9512574093515349,0.9042207291246117,0.9048851980302225,0.9148746360916136,0.9249174272931494,1.0,0.899278995235061,0.9290262729975419,0.8938342381582517,0.9132788369349113,0.8154631556388514,0.8043796801130481,0.8634099649595592,0.9320509120469255,0.6043119304570336,0.7675821789900256,0.8698418602070108,0.9063935395481725
"Number of paid training woman students, persons",0.971213392898612,0.9641142014945043,0.9135667616728697,0.9092685572640624,0.9804989706819193,0.9560331838436437,0.996617488992222,0.9490041016935875,0.899278995235061,1.0,0.9611560576426171,0.9405976090206978,0.90773327807215,0.8276270478909029,0.7561278298379748,0.907728479317501,0.8827511662965444,0.6118536660819933,0.6091268815769507,0.9262546087827359,0.9062917970792865
